department_id,department_name,faculty,annual_budget,building
45,History Department 3,Humanities & Social Sciences,1727271,Building-F
46,Philosophy Department 3,Humanities & Social Sciences,3620109,Building-G
47,Linguistics Department 3,Humanities & Social Sciences,2942493,Building-H
48,Political Science Department 3,Humanities & Social Sciences,513865,Building-A
49,Computer Science Department 4,STEM,3992092,Building-B
50,Electrical Engineering Department 4,STEM,1449769,Building-C
51,Mechanical Engineering Department 4,STEM,3871903,Building-D
52,Civil Engineering Department 4,STEM,2150845,Building-E
53,Mathematics Department 4,STEM,3556029,Building-F
54,Physics Department 4,STEM,3093342,Building-G
55,Chemistry Department 4,STEM,849227,Building-H
56,Biology Department 4,STEM,4879920,Building-A
57,Economics Department 4,Humanities & Social Sciences,3397718,Building-B
58,Business Administration Department 4,Humanities & Social Sciences,1916848,Building-C
59,Psychology Department 4,Humanities & Social Sciences,2714810,Building-D
60,Sociology Department 4,Humanities & Social Sciences,2726478,Building-E
61,History Department 4,Humanities & Social Sciences,4391381,Building-F
62,Philosophy Department 4,Humanities & Social Sciences,432175,Building-G
63,Linguistics Department 4,Humanities & Social Sciences,2105195,Building-H
64,Political Science Department 4,Humanities & Social Sciences,4411909,Building-A
65,Computer Science Department 5,STEM,749056,Building-B
66,Electrical Engineering Department 5,STEM,3855150,Building-C
67,Mechanical Engineering Department 5,STEM,1575486,Building-D
68,Civil Engineering Department 5,STEM,3187501,Building-E
69,Mathematics Department 5,STEM,1860136,Building-F
70,Physics Department 5,STEM,3636791,Building-G
71,Chemistry Department 5,STEM,515041,Building-H
72,Biology Department 5,STEM,1424007,Building-A
73,Economics Department 5,Humanities & Social Sciences,3490462,Building-B
74,Business Administration Department 5,Humanities & Social Sciences,2753908,Building-C
75,Psychology Department 5,Humanities & Social Sciences,947841,Building-D
76,Sociology Department 5,Humanities & Social Sciences,1264299,Building-E
77,History Department 5,Humanities & Social Sciences,4875190,Building-F
78,Philosophy Department 5,Humanities & Social Sciences,1723966,Building-G
79,Linguistics Department 5,Humanities & Social Sciences,4318054,Building-H
80,Political Science Department 5,Humanities & Social Sciences,1350014,Building-A
81,Computer Science Department 6,STEM,968759,Building-B
82,Electrical Engineering Department 6,STEM,4053475,Building-C
83,Mechanical Engineering Department 6,STEM,579270,Building-D
84,Civil Engineering Department 6,STEM,4798598,Building-E
85,Mathematics Department 6,STEM,565195,Building-F
86,Physics Department 6,STEM,2626815,Building-G
87,Chemistry Department 6,STEM,4153563,Building-H
88,Biology Department 6,STEM,1146362,Building-A
89,Economics Department 6,Humanities & Social Sciences,4698586,Building-B
90,Business Administration Department 6,Humanities & Social Sciences,338589,Building-C
91,Psychology Department 6,Humanities & Social Sciences,3035996,Building-D
92,Sociology Department 6,Humanities & Social Sciences,3719522,Building-E
93,History Department 6,Humanities & Social Sciences,1619479,Building-F
94,Philosophy Department 6,Humanities & Social Sciences,2688812,Building-G
95,Linguistics Department 6,Humanities & Social Sciences,3688716,Building-H
96,Political Science Department 6,Humanities & Social Sciences,2066571,Building-A
97,Computer Science Department 7,STEM,1444298,Building-B
98,Electrical Engineering Department 7,STEM,1198291,Building-C
99,Mechanical Engineering Department 7,STEM,4330735,Building-D
100,Civil Engineering Department 7,STEM,1221439,Building-E
